#: table_doi: 10.17182/hepdata.106058.v1/t8
#: name: Transverse mass $M_T$ for E+INVISIBLE system
#: description: $M_T$ distribution for the E+INVISIBLE system using 2016-2018 data sets. The complete set of selection criteria were applied. Two examples of SSM WPRIME boson signal samples with masses of 3.8 and 5.6 TeV are shown. The lower panel shows the ratio of data to SM prediction, and the shaded band represents the systematic uncertainties.
#: data_file: transverse_mass_$m_t$_for_e+invisible_system.yaml
#: keyword observables: N MT
#: keyword reactions: P P --> WPRIME --> E + INVISIBLE
#: keyword cmenergies: 13000
#: Process,WPRIME --> E + INVISIBLE
#: SQRT(S) [TeV],13
"Transverse mass, $M_T$ [GeV]",Data
"Transverse mass, $M_T$ [GeV]",SM,stat+syst uncertainty +,stat+syst uncertainty -
460,3163.1,501.97,-501.97
500,3681.4,439.23,-439.23
540,3195.3,255.4,-255.4
580,2374.3,242.31,-242.31
620,1752.9,189.27,-189.27
660,1297.8,170.35,-170.35
700,977.82,123.1,-123.1
740,740.34,83.649,-83.649
780,558.14,70.243,-70.243
820,431.85,47.616,-47.616
860,335.73,39.69,-39.69
900,269.18,26.429,-26.429
940,223.36,31.361,-31.361
980,172.31,31.685,-31.685
1020,137.72,22.718,-22.718
1060,112.17,16.863,-16.863
1100,91.29,13.256,-13.256
1140,75.828,15.139,-15.139
1180,62.067,11.375,-11.375
1220,51.933,10.977,-10.977
1260,44.389,7.6228,-7.6228
1300,36.378,6.1609,-6.1609
1340,30.032,5.2559,-5.2559
1380,25.662,4.2782,-4.2782
1420,22.551,5.4857,-5.4857
1460,18.226,3.49,-3.49
1500,15.595,2.5741,-2.5741
1540,13.444,3.3212,-3.3212
1580,11.396,2.0185,-2.0185
1620,9.6513,1.7531,-1.7531
1660,8.2045,1.5246,-1.5246
1700,7.3821,1.4026,-1.4026
1740,8.6462,2.5328,-2.5328
1780,5.4101,1.1538,-1.1538
1820,4.7091,0.92291,-0.92291
1860,4.0927,1.0027,-1.0027
1900,3.5843,0.77083,-0.77083
1940,3.0343,0.64178,-0.64178
1980,2.7446,0.57077,-0.57077
2020,2.379,0.48499,-0.48499
2060,2.0923,0.38061,-0.38061
2100,1.8311,0.38448,-0.38448
2140,1.6123,0.34595,-0.34595
2180,1.4217,0.28751,-0.28751
2220,1.2582,0.23162,-0.23162
2260,1.0981,0.20254,-0.20254
2300,0.98268,0.19719,-0.19719
2340,0.86494,0.18762,-0.18762
2380,0.75754,0.18722,-0.18722
2420,0.67358,0.17188,-0.17188
2460,0.60104,0.13257,-0.13257
2500,0.52332,0.13645,-0.13645
2540,0.4645,0.10515,-0.10515
2580,0.42264,0.092711,-0.092711
2620,0.37054,0.08817,-0.08817
2660,0.32864,0.085141,-0.085141
2700,0.29396,0.071156,-0.071156
2740,0.2573,0.072658,-0.072658
2780,0.22843,0.06468,-0.06468
2820,0.20364,0.05076,-0.05076
2860,0.18275,0.046606,-0.046606
2900,0.16267,0.045623,-0.045623
2940,0.14885,0.038283,-0.038283
2980,0.13302,0.034014,-0.034014
3020,0.11864,0.03435,-0.03435
3060,0.10645,0.028267,-0.028267
3100,0.096295,0.0266,-0.0266
3140,0.08524,0.025352,-0.025352
3180,0.077112,0.022381,-0.022381
3220,0.068537,0.020585,-0.020585
3260,0.061366,0.018963,-0.018963
3300,0.054873,0.018016,-0.018016
3340,0.0489,0.016291,-0.016291
3380,0.043767,0.015632,-0.015632
3420,0.039111,0.014362,-0.014362
3460,0.034652,0.01251,-0.01251
3500,0.031453,0.011143,-0.011143
3540,0.027879,0.011037,-0.011037
3580,0.025425,0.0092928,-0.0092928
3620,0.02289,0.0082026,-0.0082026
3660,0.02028,0.0087995,-0.0087995
3700,0.018376,0.0076464,-0.0076464
3740,0.016631,0.0069361,-0.0069361
3780,0.015051,0.0063466,-0.0063466
3820,0.013243,0.0056285,-0.0056285
3860,0.011774,0.005757,-0.005757
3900,0.010455,0.0052683,-0.0052683
3940,0.009506,0.004802,-0.004802
3980,0.0086568,0.0044496,-0.0044496
4020,0.0076957,0.0038596,-0.0038596
4060,0.0068791,0.0035321,-0.0035321
4100,0.0061848,0.0033624,-0.0033624
4140,0.0055449,0.0030833,-0.0030833
4180,0.0049635,0.0027603,-0.0027603
4220,0.0044991,0.0024882,-0.0024882
4260,0.0039822,0.0023115,-0.0023115
4300,0.0035846,0.0021448,-0.0021448
4340,0.0032166,0.0020336,-0.0020336
4380,0.0028854,0.0018165,-0.0018165
4420,0.0025851,0.0016499,-0.0016499
4460,0.0023648,0.0014859,-0.0014859
4500,0.0020897,0.0013898,-0.0013898
4540,0.0018906,0.0013009,-0.0013009
4580,0.0017018,0.0012178,-0.0012178
4620,0.0015604,0.001109,-0.001109
4660,0.0013528,0.0010153,-0.0010153
4700,0.001225,0.00091823,-0.00091823
4740,0.0010851,0.00089589,-0.00089589
4780,0.00097741,0.00079297,-0.00079297
4820,0.00088794,0.00072852,-0.00072852
4860,0.00079403,0.00065111,-0.00065111
4900,0.00071487,0.00059727,-0.00059727
4940,0.00064324,0.00054851,-0.00054851
4980,0.0005811,0.00050709,-0.00050709
5020,0.00052016,0.00046214,-0.00046214
5060,0.0004555,0.00041667,-0.00041667
5100,0.00041182,0.00038984,-0.00038984
5140,0.00036853,0.00035468,-0.00035468
5180,0.00033286,0.00031966,-0.00031966
5220,0.00030103,0.00029058,-0.00029058
5260,0.00026328,0.00026534,-0.00026534
5300,0.00023582,0.00023577,-0.00023577
5340,0.00021184,0.00021934,-0.00021934
5380,0.00018588,0.00019497,-0.00019497
5420,0.00017065,0.00018358,-0.00018358
5460,0.00014861,0.00016183,-0.00016183
5500,0.00013174,0.00014807,-0.00014807
5540,0.00011836,0.00013328,-0.00013328
5580,0.00010616,0.00012273,-0.00012273
5620,9.589e-05,0.00010274,-0.00010274
5660,8.3534e-05,9.8371e-05,-9.8371e-05
5700,7.1586e-05,9.0209e-05,-9.0209e-05
5740,6.4673e-05,8.4118e-05,-8.4118e-05
5780,5.3823e-05,7.2762e-05,-7.2762e-05
5820,4.9669e-05,6.6e-05,-6.6e-05
5860,4.2015e-05,5.9827e-05,-5.9827e-05
5900,3.4664e-05,4.0153e-05,-4.0153e-05
5940,2.9249e-05,3.4438e-05,-3.4438e-05
5980,2.3911e-05,3.0433e-05,-3.0433e-05
6020,2.0616e-05,2.5683e-05,-2.5683e-05
6060,1.6365e-05,2.1392e-05,-2.1392e-05
6100,1.397e-05,1.9413e-05,-1.9413e-05
6140,1.1929e-05,1.4772e-05,-1.4772e-05
6180,9.6068e-06,1.3482e-05,-1.3482e-05
6220,8.3143e-06,1.2357e-05,-1.2357e-05
6260,7.242e-06,1.0392e-05,-1.0392e-05
6300,6.8451e-06,1.5228e-05,-1.5228e-05
6340,5.4224e-06,9.667e-06,-9.667e-06
6380,4.9874e-06,8.2507e-06,-8.2507e-06
6420,3.9521e-06,7.1007e-06,-7.1007e-06
6460,3.4714e-06,6.1639e-06,-6.1639e-06
6500,3.2752e-06,6.6926e-06,-6.6926e-06
6540,4.9298e-06,9.6721e-06,-9.6721e-06
6580,2.6411e-06,3.7592e-06,-3.7592e-06
6620,2.3487e-06,3.1264e-06,-3.1264e-06
6660,2.002e-06,2.3649e-06,-2.3649e-06
6700,1.7521e-06,3.4436e-06,-3.4436e-06
6740,1.6749e-06,3.3244e-06,-3.3244e-06
6780,1.3608e-06,2.7606e-06,-2.7606e-06
6820,3.2439e-06,8.6186e-06,-8.6186e-06
6860,1.2336e-06,2.1285e-06,-2.1285e-06
6900,1.1861e-06,2.3488e-06,-2.3488e-06
6940,1.3233e-06,1.9175e-06,-1.9175e-06
6980,9.8771e-07,2.2995e-06,-2.2995e-06

#: Process,WPRIME --> E + INVISIBLE
#: SQRT(S) [TeV],13
"Transverse mass, $M_T$ [GeV]",WPRIME 3.8 TeV
460,0.59101
500,1.833
540,2.9808
580,3.3944
620,2.6087
660,2.4026
700,2.8203
740,2.7756
780,2.7403
820,2.5598
860,2.5903
900,2.5409
940,2.2921
980,2.0344
1020,2.9198
1060,2.2868
1100,2.6382
1140,2.5075
1180,2.0056
1220,2.1584
1260,2.1401
1300,2.0476
1340,2.7121
1380,2.3132
1420,1.9029
1460,2.0983
1500,2.3103
1540,2.4421
1580,2.3598
1620,1.7215
1660,2.5197
1700,2.3257
1740,2.3067
1780,2.2683
1820,2.2369
1860,2.6462
1900,2.4105
1940,3.0603
1980,2.648
2020,1.7246
2060,2.6425
2100,2.6832
2140,2.1147
2180,2.2651
2220,2.9921
2260,2.0664
2300,2.3767
2340,2.372
2380,2.2083
2420,2.8792
2460,2.2184
2500,2.528
2540,2.275
2580,2.9509
2620,2.8371
2660,2.7845
2700,2.6669
2740,2.3222
2780,2.49
2820,2.869
2860,3.185
2900,3.1296
2940,3.077
2980,2.7677
3020,2.6484
3060,3.0896
3100,3.4027
3140,3.4495
3180,3.2784
3220,3.2352
3260,3.3013
3300,3.7085
3340,3.2568
3380,3.6573
3420,4.0143
3460,4.5526
3500,4.0846
3540,4.5182
3580,4.9394
3620,4.8341
3660,5.33
3700,5.6161
3740,6.5997
3780,5.818
3820,4.4822
3860,3.2597
3900,2.0831
3940,0.90793
3980,0.70261
4020,0.36793
4060,0.25502
4100,0.18167
4140,0.16848
4180,0.077525
4220,0.088223
4260,0.065197
4300,0.10002
4340,0.016668
4380,0.045209
4420,0.085071
4460,0.020963
4500,0.072416
4540,0.012515
4580,0.0
4620,0.0
4660,0.0
4700,0.0
4740,0.0
4780,0.0
4820,0.044782
4860,0.0
4900,0.0
4940,0.0053577
4980,0.0
5020,0.026215
5060,0.024348
5100,0.0
5140,0.0
5180,0.0
5220,0.0
5260,0.016668
5300,0.022543
5340,0.0097256
5380,0.0
5420,0.0
5460,0.0
5500,0.0
5540,0.0
5580,0.0
5620,0.0
5660,0.0
5700,0.0
5740,0.0
5780,0.0
5820,0.0
5860,0.0
5900,0.0
5940,0.0
5980,0.0
6020,0.0
6060,0.0
6100,0.0
6140,0.0
6180,0.0
6220,0.0
6260,0.0
6300,0.0
6340,0.0
6380,0.0
6420,0.0
6460,0.0
6500,0.0
6540,0.0
6580,0.0
6620,0.0
6660,0.0
6700,0.0
6740,0.0
6780,0.0
6820,0.0
6860,0.0
6900,0.0
6940,0.0
6980,0.0

#: Process,WPRIME --> E + INVISIBLE
#: SQRT(S) [TeV],13
"Transverse mass, $M_T$ [GeV]",WPRIME 5.6 TeV
460,0.10132
500,0.22137
540,0.30695
580,0.34448
620,0.29392
660,0.31309
700,0.29681
740,0.28707
780,0.29206
820,0.26718
860,0.24491
900,0.20439
940,0.24932
980,0.22891
1020,0.17323
1060,0.207
1100,0.21658
1140,0.18597
1180,0.17829
1220,0.16276
1260,0.13238
1300,0.12046
1340,0.15031
1380,0.11431
1420,0.12079
1460,0.13002
1500,0.13068
1540,0.13595
1580,0.12167
1620,0.10384
1660,0.083145
1700,0.098239
1740,0.090899
1780,0.10134
1820,0.080424
1860,0.077261
1900,0.072552
1940,0.069567
1980,0.060743
2020,0.076996
2060,0.089733
2100,0.058416
2140,0.058859
2180,0.069054
2220,0.07131
2260,0.094623
2300,0.064487
2340,0.069693
2380,0.059987
2420,0.070078
2460,0.058815
2500,0.047126
2540,0.060491
2580,0.049749
2620,0.038855
2660,0.052857
2700,0.034716
2740,0.086576
2780,0.054835
2820,0.037959
2860,0.054101
2900,0.053491
2940,0.031355
2980,0.041319
3020,0.032282
3060,0.044272
3100,0.04372
3140,0.05375
3180,0.050775
3220,0.034838
3260,0.042901
3300,0.033933
3340,0.033394
3380,0.042625
3420,0.043383
3460,0.050519
3500,0.028806
3540,0.039089
3580,0.043874
3620,0.041597
3660,0.043745
3700,0.03727
3740,0.043117
3780,0.035316
3820,0.037907
3860,0.056961
3900,0.040683
3940,0.052079
3980,0.035336
4020,0.040152
4060,0.03547
4100,0.047442
4140,0.045887
4180,0.03387
4220,0.056815
4260,0.036354
4300,0.047539
4340,0.048982
4380,0.04369
4420,0.050067
4460,0.044144
4500,0.046756
4540,0.051896
4580,0.036892
4620,0.060611
4660,0.045963
4700,0.052425
4740,0.056973
4780,0.047966
4820,0.056325
4860,0.051952
4900,0.056851
4940,0.048663
4980,0.050416
5020,0.052785
5060,0.059685
5100,0.059251
5140,0.055264
5180,0.061965
5220,0.079743
5260,0.062322
5300,0.076276
5340,0.082074
5380,0.081696
5420,0.081093
5460,0.072879
5500,0.083366
5540,0.077474
5580,0.082893
5620,0.044081
5660,0.034864
5700,0.037605
5740,0.032183
5780,0.01933
5820,0.012656
5860,0.011411
5900,0.0089427
5940,0.0091406
5980,0.0070641
6020,0.0032168
6060,0.0016884
6100,0.0
6140,0.0
6180,0.0
6220,0.0
6260,0.0
6300,0.0
6340,0.0
6380,0.0
6420,0.0
6460,0.0
6500,0.0
6540,0.0
6580,0.0
6620,0.0
6660,0.0
6700,0.0
6740,0.0
6780,0.0
6820,0.0
6860,0.0
6900,0.0
6940,0.0
6980,0.0

